date_key,full_date,year,quarter,month,month_name,day_of_week
20250102,2025-01-02,2025,1,1,January,Thursday
20250104,2025-01-04,2025,1,1,January,Saturday
20250105,2025-01-05,2025,1,1,January,Sunday
20250107,2025-01-07,2025,1,1,January,Tuesday
20250109,2025-01-09,2025,1,1,January,Thursday
20250110,2025-01-10,2025,1,1,January,Friday
20250111,2025-01-11,2025,1,1,January,Saturday
20250112,2025-01-12,2025,1,1,January,Sunday
20250113,2025-01-13,2025,1,1,January,Monday
20250115,2025-01-15,2025,1,1,January,Wednesday
20250117,2025-01-17,2025,1,1,January,Friday
20250120,2025-01-20,2025,1,1,January,Monday
20250122,2025-01-22,2025,1,1,January,Wednesday
20250123,2025-01-23,2025,1,1,January,Thursday
20250124,2025-01-24,2025,1,1,January,Friday
20250125,2025-01-25,2025,1,1,January,Saturday
20250127,2025-01-27,2025,1,1,January,Monday
20250129,2025-01-29,2025,1,1,January,Wednesday
20250131,2025-01-31,2025,1,1,January,Friday
20250204,2025-02-04,2025,1,2,February,Tuesday
20250207,2025-02-07,2025,1,2,February,Friday
20250208,2025-02-08,2025,1,2,February,Saturday
20250210,2025-02-10,2025,1,2,February,Monday
20250211,2025-02-11,2025,1,2,February,Tuesday
20250213,2025-02-13,2025,1,2,February,Thursday
20250214,2025-02-14,2025,1,2,February,Friday
20250216,2025-02-16,2025,1,2,February,Sunday
20250219,2025-02-19,2025,1,2,February,Wednesday
20250220,2025-02-20,2025,1,2,February,Thursday
20250222,2025-02-22,2025,1,2,February,Saturday
20250224,2025-02-24,2025,1,2,February,Monday
20250225,2025-02-25,2025,1,2,February,Tuesday
20250226,2025-02-26,2025,1,2,February,Wednesday
20250228,2025-02-28,2025,1,2,February,Friday
20250303,2025-03-03,2025,1,3,March,Monday
20250306,2025-03-06,2025,1,3,March,Thursday
20250308,2025-03-08,2025,1,3,March,Saturday
20250309,2025-03-09,2025,1,3,March,Sunday
20250310,2025-03-10,2025,1,3,March,Monday
20250311,2025-03-11,2025,1,3,March,Tuesday
20250312,2025-03-12,2025,1,3,March,Wednesday
20250316,2025-03-16,2025,1,3,March,Sunday
20250318,2025-03-18,2025,1,3,March,Tuesday
20250322,2025-03-22,2025,1,3,March,Saturday
20250323,2025-03-23,2025,1,3,March,Sunday
20250325,2025-03-25,2025,1,3,March,Tuesday
20250326,2025-03-26,2025,1,3,March,Wednesday
20250329,2025-03-29,2025,1,3,March,Saturday
20250331,2025-03-31,2025,1,3,March,Monday
20250403,2025-04-03,2025,2,4,April,Thursday
20250405,2025-04-05,2025,2,4,April,Saturday
20250406,2025-04-06,2025,2,4,April,Sunday
20250408,2025-04-08,2025,2,4,April,Tuesday
20250412,2025-04-12,2025,2,4,April,Saturday
20250413,2025-04-13,2025,2,4,April,Sunday
20250416,2025-04-16,2025,2,4,April,Wednesday
20250417,2025-04-17,2025,2,4,April,Thursday
20250418,2025-04-18,2025,2,4,April,Friday
20250419,2025-04-19,2025,2,4,April,Saturday
20250426,2025-04-26,2025,2,4,April,Saturday
20250427,2025-04-27,2025,2,4,April,Sunday
20250428,2025-04-28,2025,2,4,April,Monday
20250430,2025-04-30,2025,2,4,April,Wednesday
20250501,2025-05-01,2025,2,5,May,Thursday
20250502,2025-05-02,2025,2,5,May,Friday
20250504,2025-05-04,2025,2,5,May,Sunday
20250505,2025-05-05,2025,2,5,May,Monday
20250506,2025-05-06,2025,2,5,May,Tuesday
20250507,2025-05-07,2025,2,5,May,Wednesday
20250508,2025-05-08,2025,2,5,May,Thursday
20250511,2025-05-11,2025,2,5,May,Sunday
20250515,2025-05-15,2025,2,5,May,Thursday
20250516,2025-05-16,2025,2,5,May,Friday
20250517,2025-05-17,2025,2,5,May,Saturday
20250518,2025-05-18,2025,2,5,May,Sunday
20250519,2025-05-19,2025,2,5,May,Monday
20250521,2025-05-21,2025,2,5,May,Wednesday
20250522,2025-05-22,2025,2,5,May,Thursday
20250525,2025-05-25,2025,2,5,May,Sunday
20250526,2025-05-26,2025,2,5,May,Monday
20250527,2025-05-27,2025,2,5,May,Tuesday
20250528,2025-05-28,2025,2,5,May,Wednesday
20250530,2025-05-30,2025,2,5,May,Friday
20250601,2025-06-01,2025,2,6,June,Sunday
20250602,2025-06-02,2025,2,6,June,Monday
20250603,2025-06-03,2025,2,6,June,Tuesday
